EL ,Licensee ,Applic. date,Date of grant,Comments on Status as of 2012
728,"GIDS Consult Ltd(Ahimbisibwe Bernard, Moses Muhumuza)",30-11-10,10/2/11,"Not gazette, Granted by AC/Labs for the first time geothermal license granted. No evidence of financial (34,130,500,000), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance, Who directs file to AC/geology?"
910,Rockmarks Ltd ,31-10-11,9/12/11,"Lacks financial (405,600,000/=) and technical resources evidence,. Granted by PIM, Notice to gazette not complied with Empty file (sign of lack operational and technical resources)"
411,AUC Mining (U) Ltd ,24-9-08,12/1/09,"Work program too brief queried by geology. Granted ignoring above, Gazette notice ignored, Lacks financial (US$700,000) and technical resources evidence, Sub-standard reports, AC/Geology segregates duties to his juniors."
191,Carniege Minerals Exploration (u) Ltd,25-4-07,22-5-07,"Lacks financial (888,502,520/=) and technical resources evidence, Notice to gazette ignored, Transferred with no exploration activity undertaken, Renewed with no significant exploration (not meeting expenditure and reporting conditions). Renewed with no returns, Several licenses with no activity, land locked-up (EL008, 0029, 0030, 00163, 0191, 0197), Not satisfactory performance."
303,Nelvo International Ltd (Pravin Ghelan),4/4/08,15-4-08,"Lacks financial and technical resources evidence. Gazette not honored, Authenticity of lab results doubted, Sub-standard reports, Notice of non-compliance given no reply, no activity, Technical people on ground with no geologist, Mugere signs for commissioner, Renewed with sub-standard reports, PIM ignores queries from geology supports applicant."
959,Eco Technologies Ltd (Mr. Wasswa Birigwa).,14-9-2011,20-3-2012,"Lacks notice to gazette, Non segregation of duties by AC/Geology. Lack of financial (UGX 3,829,500,000/=) and technical evidence. Shape of area not rectangular."
196,Elegant Resources Ltd,,,"Samples sent to S. Africa with no proof export permit. Sub-standard reports, Original file lost."
197,Carnege Minerals Exploration (U) Ltd ,25-4-2007,22-5-07,"Lacks financial and technical resources evidence (1,205,050,520), Notice of gazette not honored. Apply to transfer with no with exploration undertaken. Good letter of undertaking, Busitema Mining Cie Ltd (several licenses, no activity, land locked (EL008,0029, 0030, 0060, 0163, 0190, 0191, 0197, 0410, ml4128), Second letter that licence well managed. Renewed with no activity undertaken."
960,ECO Technologies ltd,5/12/11,20th–3- 2012,"Lacks financial and technical resources evidence (1,224,534.60UGX), License copy not signed, Notice to gazette not honored, Segregation of duties AC/Geology."
851,Ferro Minerals (U) Ltd Jimmy Katumba & Moses Serunjoji,-,22-9-2011,"Not received by DGSM (lacks stamp), Apply to transfer with no with exploration undertaken. AC/Geology signs in both Comm capacity and AC/Geology, Not gazette, No Evidence of financial and technical resources, Shape not rectangular. (a) Always the issuing of licence should be after the application has been lodged and approved(b) Progress report is needed to filed for monitoring purposes(c) Gazette is required must be a must"
967,Development Services Kigezi,5/3/12,19-3-12,"Gazette notice not honored, Transferred with no exploration activity undertaken. No evidence of financial or technical resources, Not rectangular in shape."
771,Kamuntu Moses,30-5-11,14-6-11,"Gazette notice not honored, Transferred with no exploration activity undertaken (no report at all). No evidence of financial (UGX 233,030,000/=) or technical resources, Not rectangular in shape, No notice of non-compliance."
973,Care Moving Investments (Fred Kayanda).,6/7/12,10/4/12,"Gazette notice not honored. AC/Geology segregate duties.  AC/Mines dealing with IOM instead of SIM or PIM, No evidence of financial (UGX 900,800,000/=) or technical resources, Not rectangular in shape, No notice of non-compliance."
965,Indiana Mining Ltd,19-12-11,19-3-12,"No Gazette notice. AC/Geology does not segregate duties. IOM directing AC/Geology to review, No evidence of financial (UGX 249,100,000/=) or technical resources, Plan not rectangular in shape"
964,Indiana Mining Ltd,14-12-11,19-3-12,"Gazette notice not honored. No evidence of financial or technical resources, Not rectangular in shape"
963,Royalco Resources Ltd,2/2/12,20-3-12,"Gazette notice not honored. No evidence of financial (UGX 110,000,000/=) or technical resources, Not rectangular in shape"
966,Fulin Mines Ltd,28-2-12,19-3-12,"Gazette notice not honored. No evidence of financial or technical resources, AC/Geology does not segregate duties, Not rectangular in shape"
860,Ferro Minerals (U) Ltd (Katumba Jimmy & Moses Serunjoji),?,22-9-12,"Not received by DGSM (No stamp), Transferred with no exploration activity undertaken, Gazette notice not honored. No evidence of financial (458,800,00/=) or technical resources, AC/Geology signs as Commissioner as well. AC/Mines deals with IOM instead of PIM or SIM, Not rectangular in shape"
860,Ferro Minerals (U) Ltd (Katumba Jimmy & Moses Serunjoji),?,22-9-12,"Not received by DGSM (No stamp) No evidence of financial (123,500,00/=) or technical resources,Transferred with no exploration activity undertaken. AC/Geology signs as Commissioner as well. AC/Mines deals with IOM instead of PIM or SIM, Not rectangular in shape"
862,Ferro Minerals (U) Ltd (Katumba Jimmy & Moses Serunjoji),,22-9-11,"Not received by DGSM (No stamp), No gazette notice, No evidence of financial (488,800,000/=) technical and operational resources, Transferred with no exploration activity undertaken. AC/Geology signs as Commissioner as well. AC/Mines deals with IOM instead of PIM or SIM, Not rectangular in shape, Empty file, no notices of non-compliance"
726,Femet (U) Ltd (Katumba Jimmy),8/2/11,24-2-11,"Not received by DGSM (No stamp), No gazette notice, No evidence of financial (830,200,000/=) technical and operational resources, Transferred with no exploration activity undertaken. Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance, Not rectangular in shape"
728,Femet (U) Ltd (Katumba Jimmy),8/2/11,24-2-11,"Not gazetted, Ac/GEOLOGY should segregate duties. No evidence of financial (530,000,000/=) technical and operational resources, Transferred to Krishna Mining Ltd with no exploration activity undertaken. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice non-compliance"
727,Femet (U) Ltd (Katumba Jimmy),8/2/11,24-2-11,"Not gazetted, Ac/GEOLOGY should segregate duties. No evidence of financial (530,000,000/=) technical and operational resources, Transferred to Krishna Mining Ltd with no exploration activity undertaken. Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice non-compliance"
729,AVR Eng & Infrastructure (Pravin Ghelan),14-1-11,10/3/11,"Not gazetted, Ac/GEOLOGY should segregate duties. No evidence of financial (748,722,000/=) technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports). No notice non-compliance"
741,Berkeley Reef Ltd (Richard Kaijuka),2/7/10,4/4/11,"Not gazetted, Ac/GEOLOGY should segregate duties. No evidence of financial (203,500,000/=) technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance, Technical query from geology ignored."
740,"Ferro Minerals (U) Ltd, Katumba Jimmy",10/3/11,23-3-11,"No notice of  gazette, Ac/GEOLOGY should segregate duties. No evidence of financial (460,200,000/=) technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance"
739,Ferro Minerals (U) Ltd Katumba Jimmy,10/3/11,23-3-11,"No notice of  gazette, Ac/GEOLOGY should segregate duties. No evidence of financial (460,200,000/=) technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance"
738,Ferro Minerals (U) Ltd Katumba Jimmy,10/3/11,23-3-11,"Not gazetted, Ac/GEOLOGY should segregate duties. No evidence of financial (530,200,000/=) technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance, IOM instructs AC/Geology to review."
737,Ferro Minerals (U) Ltd Katumba Jimmy,10/3/11,23-3-11,"Not gazetted, Ac/GEOLOGY should segregate duties. No evidence of financial (490,200,000/=) technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance"
736,Universal Resources International Ltd,11/2/11,23-3-11,"Not gazetted, Ac/GEOLOGY should segregate duties. No evidence of financial (490,200,000/=) technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice non-compliance, No notice non-compliance, AC/mines names s"
857,Ferro Minerals (U) Ltd (Katumba Jimmy & Moses Serunjoji),?,22-9-11,"CAO of Kotido, exploration program of Kaabong. Not received by DGSM (No stamp), No gazette notice, No evidence of financial (488,800,000/=) technical and operational resources, Transferred with no exploration activity undertaken. Commissioner signs as AC/Geology as well. AC/Mines deals with IOM instead of PIM or SIM, Not rectangular in shape, Empty file, no notices of non-compliance"
858,Ferro Minerals (U) Ltd (Katumba Jimmy & Moses Serunjoji),,22-9-11,"CAO of Kotido, exploration program of Kaabong. Not received by DGSM (No stamp), No gazette notice, No evidence of financial (458,800,000/=) technical and operational resources, Transferred with no exploration activity undertaken. AC/Geology signs as Commissioner as well. AC/Mines deals with IOM instead of PIM or SIM, Not rectangular in shape, Empty file, no notices of non-compliance"
859,Ferro Minerals (U) Ltd (Katumba Jimmy & Moses Serunjoji),?,22-9-11,"CAO of Kotido, exploration program of Kaabong. Not received by DGSM (No stamp), No gazette notice, No evidence of financial (458,800,000/=) technical and operational resources, Transferred with no exploration activity undertaken. AC/Geology signs as Commissioner as well. AC/Mines deals with IOM instead of PIM or SIM, Not rectangular in shape, Empty file, no notices of non-compliance"
852,Ferro Minerals (U) Ltd (Katumba Jimmy & Moses Serunjoji),?,22-9-11,"Not received by DGSM (No stamp), No gazette notice, Time and date CAO endorsed not shown, No evidence of financial (498,800,000/=) technical and operational resources, Transferred with no exploration activity undertaken. AC/Geology signs as Commissioner as well. AC/Mines deals with IOM instead of PIM or SIM. Not rectangular in shape. Empty file, no notices of non-compliance"
373,Fred Kasalirwe,8/7/08,2/9/08,"Gazette notice not honoured. No evidence of financial (163,550,000/=) technical and operational resources. AC/Geology should segregate duties. IOM instructs AC/Geology to review. Compliant notice no reply, Not rectangular in shape. Sub-standard reports and exploration work not satisfactory. Annual rent not paid? "
856,Ferro Minerals (U) Ltd (Katumba Jimmy & Moses Serunjoji),?,22-9-11,"CAO of Kotido, exploration program of Kaabong. Not received by DGSM (No stamp), No gazette notice. No evidence of financial (458,800,000/=) technical and operational resources. Transferred to East African Mining Ltd with no exploration activity undertaken. AC/Geology signs as Commissioner as well. AC/Mines deals with IOM instead of PIM or SIM. Not rectangular in shape. Empty file, no notices of non-compliance"
855,Ferro Minerals (U) Ltd (Katumba Jimmy & Moses Serunjoji),?,22-9-11,"CAO of Kotido, exploration program of Kaabong. Not received by DGSM (No stamp). No gazette notice. No evidence of financial (458,800,000/=) technical and operational resources. Transferred to East African Mining Ltd with no exploration activity undertaken. AC/Geology signs as Commissioner as well. Not rectangular in shape. Empty file, no notices of non-compliance"
854,Ferro Minerals (U) Ltd (Katumba Jimmy & Moses Serunjoji),,22-9-11,"CAO of Kotido, exploration program of Kaabong. Incomplete application form. Not received by DGSM (No stamp). No gazette notice. No evidence of financial (458,800,000/=) technical and operational resources. AC/Geology signs as Commissioner as well. Not rectangular in shape. Empty file, no notices of non-compliance"
853,Ferro Minerals (U) Ltd (Katumba Jimmy & Moses Serunjoji),,22-9-11,"Incomplete application form. Not received by DGSM (No stamp). No gazette notice. zNo evidence of financial (458,800,000/=) technical and operational resources. Transferred to East African Mining Ltd with no exploration activity undertaken. AC/Geology signs as Commissioner as well. Not rectangular in shape. Empty file, no notices of non-compliance"
891,"Brothers Investment Ltd (Chinese, Han Song)",,7/11/11,"Gazette notice not honored. No evidence of financial (772,650,000/=) technical and operational resources. AC/Geology segregate duties. Not rectangular in shape. Empty file, no notices of non-compliance"
879,Faithable International Company limited  ,22-5-201,1/11/11,"Director UMAR, single name. Licence bear Name of Chris Rudigizha signed by Okedi Joseph. The Exploration program author is from DGSM, Gazette notice not honored. No evidence of financial (530,200,000/=) technical and operational resources. AC/Geology should segregate duties. Licence (59.5km2) transferred to Gold Empire Ltd and then to Uganda International Mining Company Ltd with no exploration undertaken. IOM signs as Ag. Commissioner. Application meets legal requirements by IOM should be avoided. Not rectangular in shape. Empty file, no notices of non-compliance"
826,Steel Rolling Mills Ltd,-,1/9/11,"Gazette notice not honored. Substandard work. AC/Geology should segregate duties. No evidence of financial (774,700,000/=) technical and operational resources. Ag. PIM signs licence. No notice of non-compliance"
825,Gimnat International Ltd (Nathan Wolukawo),14-4-11,11/1/12,"No Gazette notice, Substandard work, AC/Geology should segregate duties, No evidence of financial (774,700,000/=) technical and operational resources, Ag. PIM signs licence. Ag. PIM ignores Environmental query from Geology."
824,Gemstone International Ltd (British),1/7/11,14-10-11,"Exploration program (153km2) does not provide a reasonable level of detail. No evidence of financial (US$150,000) technical and operational resources, Gazette notice not honored, AC/Geology should segregate duties. AC/Mines instructs IOM to review instead of PIM and SIM"
830,"Aurua Green Metals Ltd (Azim Nathoo, Canadian)",27-2-11,1/9/11,"No evidence of financial (413,000,000) technical and operational resources, Granted by Ag. PIM, Mathias Mugere signs for Ag. Comm. Gazette notice not honored. No notice of non-compliance, empty file. Shape not rectangular."
829,Saba Saba Mining Ltd (Moses Balyeku),22-8-11,1/9/11,"Exploration brief bear name of Henry Mukiisa as author a sign of Xeroxing exploration programs. Gazette notice no reply, Empty file, no notice of non-compliance. Shape not rectangular. AC/Geology should segregate duties. No evidence of financial (227,585,000) technical and operational resources"
828,Saba Saba Mining Ltd (Moses Balyeku),22-8-11,1/9/11,"The Exploration program (91km2) is authored from DGSM. Granted by Ag PIM. Gazette notice not honored. AC/Geology should segregate duties. Empty file, no notice of non-compliance. Shape not rectangular. No evidence of financial (227,585,000) technical and operational resources"
827,Sino Minerals Investment Company Limited (Kong Dong & Ding Ming),22-8-11,29-8-11,"Grant by Ag PIM. AC/Geology should segregate duties, No evidence of financial (USD 228,650) technical and operational resources. Shape not rectangular. No notice of noncompliance. It a foreign Company. Foreign Companies are regulated in terms of majority sharing which must be Ugandan, no Memorandum and Articles of Association filed to the department to determine the status of such companies."
834,Precious Mining (U) Ltd Mattesh Mettha,11/8/11,5/9/11,"Gazette notice not honored. Grant by Ag PIM. AC/Geology should segregate duties. No evidence of financial (3,597,700,000) technical and operational resources. Shape not rectangular. No notice of noncompliance, empty file"
833,Precious Mining (U) Ltd Mattesh Mettha,11/8/11,5/9/11,"Gazette notice not honored. Grant by Ag PIM. AC/Geology should segregate duties. No evidence of financial (1,533,050,000) technical and operational resources. Shape not rectangular. No notice of noncompliance, empty file"
832,Aurua Green Metals Ltd (Azim Canadian) ,,1/9/11,"Gazette notice not honored. Grant by Ag PIM. No evidence of financial, technical and operational resources. Shape not rectangular. No notice of noncompliance, empty file"
831,Aurua Green Metals Ltd (Azim Canadian),22-8-11,,"Gazette notice not honored. Grant by Ag PIM. No evidence of financial (500,000,000/=) technical and operational resources. Shape not rectangular. No notice of noncompliance, empty file"
839,African Metals Properties Ltd (Russian) ,26-7-11,13-911,"Director gives one name. Gazette notice not honored. Grant by Ag PIM. AC/Geology should segregate duties. No evidence of financial (528,800,000/=) technical and operational resources. Shape not rectangular. No notice of noncompliance, empty file"
838,African Metals Properties Ltd (Russian),26-7-11,13-9-11,"Director gives one name (Zaur). Gazette notice not honored. Substandard reports. AC/Geology should segregate duties. No evidence of financial (488,800,000/=) technical and operational resources. Shape not rectangular"
837,African Metals Properties Ltd (Russian),26-7-11,13-9-11,"Director gives one name (Zaur). Grant by Ag. PIM. Gazette notice not honored. Substandard reports UP TO Dec 2011. AC/Geology should segregate duties. No evidence of financial (488,800,000/=) technical and operational resources. Shape not rectangular"
836,Biofertilizer Uganda Ltd (Joseph B. Ugandan) ,16-6-11,8/9/11,"Size of area differ on form and in exploration program. Director gives one name (Zaur). Grant by Ag. PIM, Gazette notice not honored. AC/Geology should segregate duties. No evidence of financial (595,450,000/=) technical and operational resources. Shape not rectangular"
845,Ferro Minerals (U) Ltd (Jimmy Katumba & Moses Serunjoji),,22-9-11,"Not received by DGSM (No stamp). No gazette notice. No evidence of financial (498,800,000/=) technical and operational resources. Transferred to East African Mining Ltd with no exploration activity undertaken. AC/Geology signs as Commissioner as well. AC/Mines instructs IOM to review and advise instead of PIM or SIM. Not rectangular in shape. Empty file, no notices of non-compliance"
844,Ban Café ltd,13-9-11,20-9-11,"Directors not named. No evidence of financial (378,950,000/=) technical and operational resources. No gazette notice. Empty file, no notice of non-compliance. Shape not rectangular. AC/Geology should segregate duties."
841,Supercom International Ltd (Mawanda Michael Muranga),5/9/11,16-9-11,"Directors not named. No evidence of financial, technical and operational resources. Gazette notice not honored. Empty file, no notice of non-compliance. Shape not rectangular. AC/Geology should segregate duties. Empty file, no non-compliance notice. Not reviewed by AC/mines"
847,Ferro Minerals (U) Ltd (Jimmy Katumba & Moses Serunjoji),,22-9-11,"Not received by DGSM (No stamp). AC/Mines instructs IOM to review instead of PIM or SIM. No gazette notice. No evidence of financial, technical and operational resources. Transferred to East African Mining Ltd with no exploration activity undertaken. Commissioner signs as AC/Geology as well. Not rectangular in shape. Empty file, no notices of non-compliance"
813,Gold Hunters Ltd (Jimmy Katumba & Dennis Kusasira),18-7-11,18-7-11,"No evidence of financial (658,800,000/=), technical and operational resources. Transferred to Hursha Mining Company Limited with no exploration activity undertaken. No returns (not complied with expenditure and reporting conditions). AC/Geology should segregate duties. AC/Mines instructs IOM to review and advise. Lacks Commissioner’s consent to grant but Commissioner signs transfer applications."
812,Gold Hunters Ltd (Jimmay Katumba & Dennis Kusasira) ,,28-7-11,"Not received by DGSM (No stamp). AC/Mines instruct IOM to review instead of PIM or SIM. No gazette notice. No evidence of financial (658,800,000/=), technical and operational resources. Transferred with no exploration activity undertaken. Lacks Commissioner’s consent to grant but Commissioner signs transfer applications. AC/mines instruct IOM to review and avise instead of PIM or SIM. Empty file (expenditure and reporting conditions not complied with), no returns, no notice of non-compliance. Not gazette."
846,Ferro Minerals (U) Ltd (Jimmy Katumba & Moses Serunjoji),,22-9-11,"Not received by DGSM (No stamp). AC/Mines instruct IOM to review instead of PIM or SIM. No gazette notice. No evidence of financial (498,800,000/=), technical and operational resources. Transferred to East African Mining Ltd with no exploration activity undertaken. Commissioner signs as AC/Geology as well. Not rectangular in shape. Empty file, no notices of non-compliance"
849,Ferro Minerals (U) Ltd (Jimmy Katumba & Moses Serunjoji),,22-9-11,"Not received by DGSM (No stamp). AC/Mines instruct IOM to review instead of PIM or SIM. No gazette notice. No evidence of financial (458,800,000/=), technical and operational resources. Transferred to East African Mining Ltd with no exploration activity undertaken. Commissioner signs as AC/Geology as well. Not rectangular in shape. Empty file, no notices of non-compliance"
722,Makugen (U) Ltd ,24-11-10,22-2-11,Gazette notice not complied with. AC/Geology should segregate duties to his juniors. No significant exploration undertaken (lack of technical and operational resources).
787,Balaji Holdings Ltd (Nuyee Dipak Kumar),17-6-11,20-6-11,"Ag. PIM granted licence. No evidence of financial (210,000,000/=), technical and operational resources. Gazette notice not complied with Substandard reports, Ag. Commissioner instructs AC/Mines to review quarterly reports, these are exploration reports to be reviewed by Geology."
788,Balaji Holdings Ltd (Nuyee Dipak Kumar),20-6-11,20-7-11,"Notice to gazette no reply, Substandard reports (lack of technical and operational resources), No evidence of financial (210,000,000/=), technical and operational resources, Ag. Commissioner instructs AC/Mines to review quarterly reports; these are exploration reports to be reviewed by Geology. AC/Geology should segregate duties. Expenditure and reporting conditions not satisfactorily complied with."
822,Brothers Investment Ltd (Chinese) ,18-7-11,18-8-11,"No evidence of financial (647,700,000/=), technical and operational resources, No name of Directors, Empty file (expenditure and reporting conditions not complied with), No returns (lack of operational and technical resources), Not gazetted, AC/Geology should segregate duties"
790,Gold Hunters Ltd (Jimmy Katumba & Deniss Kusasira),12/7/11,25-7-11,"Not gazetted, Transferred with no exploration activity undertaken. AC/Geology should segregate duties, IOM instructs Cartography to validate plan, Expenditure and reporting conditions not complied with."
814,Hill Top Minerals & Metals Ltd (Sameer Rahim),10/5/11,3/8/11,"Not gazetted, Sub-standard reports (lack of technical resources), AC/Geology should segregate duties, No evidence of financial (US$248,690), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily."
815,Steven Banya,17-6-11,29-7-11,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (380,000,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
777,Pramukh Steel Ltd ,,,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (US$ 594,817), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
805,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),-,25th-7-11,"Not received by DGSM (lacks stamp), Exploration program authored from DGSM, Not gazetted. Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (498,820,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance. AC/Mines instruct IOM to deal instead of PIM or SIM."
800,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,25-7-11,"Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (608,800,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
802,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,25-7-11,"Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (488,800,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
801,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,25-7-11,"Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (608,800,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
803,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),,25-7-11,"Not received by DGSM (lacks stamp), Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (498,800,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance. AC/Mines instruct IOM to deal instead of PIM or SIM."
810,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),18-7-11,28-7-11,"Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties. No evidence of financial (498,800,000/=), technical and operational resources. Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance. AC/Mines instruct IOM to deal instead of PIM or SIM. IOM instructs AC/Geodata to deal"
804,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),,25-7-11,"Not received by DGSM (lacks stamp), Exploration program authored from DGSM. Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (498,800,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance. AC/Mines instruct IOM to deal instead of PIM or SIM."
780,Africa Middle East Resources (Dennis Kusasira & Muhamed Al Ader UAE),4/7/11,14-7-11,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (US$ 1,000,000), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance. AC/Mines instruct IOM to deal instead of PIM or SIM."
799,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,25-7-11,"Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties. No evidence of financial (608,800,000/=), technical and operational resources. Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance. AC/Mines instruct IOM to deal instead of PIM or SIM."
798,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,25-7-11,"Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (608,800,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance. AC/Mines instruct IOM to deal instead of PIM or SIM."
797,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,25-7-11,"Not gazetted. Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties. No evidence of financial (608,800,000/=), technical and operational resources. Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance. AC/Mines instruct IOM to deal instead of PIM or SIM."
796,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,25-7-11,"Not gazetted. Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties. No evidence of financial (608,800,000/=), technical and operational resources. Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance. AC/Mines instruct IOM to deal instead of PIM or SIM."
795,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,,"No copy of Exploration Licence on file, Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties. No evidence of financial (488,800,000/=), technical and operational resources. Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
794,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,25-7-11,"Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (658,800,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
793,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,25-7-11,"Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (488,800,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
792,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,25-7-11,"Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (488,800,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
791,Gold Hunters Ltd (Kussasira Dennis & Jimmy Katumba),12/7/11,25-7-11,"Not gazetted, Transferred to Hursha Mining Company Limited with no exploration activity undertaken. AC/Geology should segregate duties, No evidence of financial (488,200,000/=), technical and operational resources. Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
760,Joyce Lucia Burungi,23-11-11,,"No copy of exploration licence on file, Not gazetted, AC/Geology should segregate duties, No evidence of financial (260,540,000/=), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance. Empty file"
758,Lupampa Muzira,2/3/11,2/4/11,"Not gazetted, AC/Geology should segregate duties, No evidence of financial (US$ 1 Million)), technical and operational resources, Expenditure and reporting conditions not complied with satisfactorily (empty file). No notice of non-compliance."
757,Gamba Exploration Company Limited,14-2-11,13-4-11,"Licence granted by Ag. PIM, Not gazetted, AC/Geology should segregate duties, No evidence of financial (204,200,000/=), technical and operational resources, Expenditure and reporting conditions not complied with (empty file). No notice of non-compliance."
755,Kab Resources Ltd ,14-2-11,11/4/11,"Exploration program lacks detail. Not gazetted. AC/Geology should segregate duties. No evidence of financial (204,200,000/=), technical and operational resources. Expenditure and reporting conditions not complied with (empty file). No notice of non-compliance."
754,Kab Resources Ltd,14-2-11,11/4/11,"Exploration program lacks detail. Not gazetted. AC/Geology should segregate duties. No evidence of financial (177,500,000/=), technical and operational resources. Expenditure and reporting conditions not complied with (empty file). No notice of non-compliance"
752,Rift Valley Minerals Ltd ,3/1/11,,"Technical Query from Geology Division should be routed back to geology to review. Not gazetted. Notice to applicant by IOM. Granted by Ag. PIM, AC/Geology should segregate duties, No evidence of financial (900,800,000/=), technical and operational resources, Expenditure and reporting conditions not complied with (empty file). No notice of non-compliance."
751,Jinja Marble Production (u) Ltd (Pakistan),13-2-11,11/4/11,"Technical Query from Geology Division should be routed back to geology to review. Not gazetted. Notice to applicant by IOM. Granted by Ag. PIM. AC/Geology should segregate duties. Technical query from Geology Division ignored by Ag. PIM. No evidence of financial (457,600,000/=), technical and operational resources. Expenditure and reporting conditions not complied with (empty file). No notice of non-compliance"
